evaluation,vendor,Technique,Tactic,General,Telemetry,None,N/A,Detected,Visibility,total_percent
2021_carbanak,Cybereason,76.0,2.0,2.0,9.0,7.0,4.0,80.0,89.0,100.0
2021_carbanak,CyCraft,34.0,6.0,25.0,4.0,27.0,4.0,65.0,69.0,100.0
2021_carbanak,IBM Security,45.0,1.0,12.0,19.0,19.0,4.0,58.0,77.0,100.0
2021_carbanak,McAfee,35.0,4.0,9.0,37.0,11.0,4.0,48.0,85.0,100.0
2021_carbanak,SentinelOne,82.0,2.0,3.0,9.0,0.0,4.0,87.0,96.0,100.0
2021_carbanak,FireEye,59.0,1.0,5.0,14.0,16.0,4.0,65.0,79.0,99.0
2021_carbanak,Micro Focus,43.0,0.0,2.0,26.0,24.0,4.0,45.0,71.0,99.0
2021_carbanak,Microsoft,54.0,2.0,6.0,23.0,10.0,4.0,62.0,85.0,99.0
2021_carbanak,Check Point,61.0,0.0,1.0,27.0,5.0,4.0,62.0,89.0,98.0
2021_carbanak,Cisco,12.0,0.0,9.0,53.0,20.0,4.0,21.0,74.0,98.0
2021_carbanak,Elastic,24.0,1.0,6.0,51.0,12.0,4.0,31.0,82.0,98.0
2021_carbanak,ESET,32.0,2.0,7.0,34.0,7.0,16.0,41.0,75.0,98.0
2021_carbanak,Fidelis,34.0,10.0,0.0,40.0,10.0,4.0,44.0,84.0,98.0
2021_carbanak,Fortinet,23.0,2.0,8.0,32.0,17.0,16.0,33.0,65.0,98.0
2021_carbanak,GoSecure,19.0,1.0,8.0,20.0,34.0,16.0,28.0,48.0,98.0
2021_carbanak,Palo Alto Networks,72.0,0.0,5.0,15.0,2.0,4.0,77.0,92.0,98.0
2021_carbanak,Sophos,20.0,1.0,0.0,45.0,16.0,16.0,21.0,66.0,98.0
2021_carbanak,Uptycs,21.0,2.0,13.0,39.0,18.0,4.0,36.0,75.0,97.0
2021_carbanak,WithSecure,22.0,2.0,15.0,40.0,14.0,4.0,39.0,79.0,97.0
